Name,Type,Start Time,Elapsed Time,Start Direction,End Direction
0,False,1.0,13.5,West,East
2,False,5.0,15.5,East,South
1,True,5.0,20.5,North,East
3,True,5.0,25.5,South,West
4,True,11.0,22.5,West,East
5,True,19.5,19.0,East,South
6,True,21.0,20.5,South,North
7,True,22.0,22.5,North,South
8,True,22.0,25.5,West,East
9,False,31.0,20.5,East,North
10,False,31.5,22.0,South,North
11,True,32.5,24.0,North,South
12,False,33.0,25.5,West,East
13,True,43.5,18.0,North,South
14,False,45.5,18.0,South,North
15,True,48.5,18.0,West,East
16,True,56.5,15.5,East,West
17,True,61.5,15.5,South,North
18,False,67.0,13.5,West,East
19,False,68.5,14.0,North,South
20,False,72.0,13.5,South,North
21,True,74.5,15.5,East,West
22,False,77.0,17.0,West,South
23,True,85.0,15.5,East,West
24,True,87.5,16.0,South,North
26,False,93.5,15.5,West,South
25,True,93.5,20.5,North,East
27,False,96.5,19.5,East,West
28,True,103.0,18.0,South,East
29,False,106.0,19.0,North,West
30,False,117.0,13.5,North,South
31,True,121.5,17.5,West,North
32,False,124.0,19.0,South,East
33,False,127.0,18.0,North,South
34,True,137.0,15.5,North,South
35,True,137.0,18.5,East,West
36,False,150.5,13.5,South,North
37,False,151.5,14.5,North,South
38,True,151.5,17.5,East,West
39,True,155.5,16.5,West,East
40,True,161.0,15.5,South,North
41,True,166.0,17.5,West,South
42,True,168.0,20.5,East,North
43,True,169.0,22.5,North,South
44,True,179.5,15.5,West,East
46,False,190.0,13.5,North,South
45,True,189.0,17.5,East,West
47,True,192.0,17.5,South,North
48,False,200.5,13.5,North,South
49,False,206.5,15.5,East,South
50,True,206.5,18.5,West,East
51,True,211.5,16.5,North,South
52,True,219.0,15.5,South,North
54,False,222.5,16.0,North,West
53,True,222.0,19.5,East,West
55,False,238.0,13.5,South,North
56,True,242.0,17.5,East,South
57,True,244.0,18.5,North,South
58,False,252.0,15.5,East,South
59,False,259.0,13.5,West,East
60,True,262.5,15.5,South,North
61,True,264.0,17.0,East,West
62,False,274.5,13.5,West,East
63,False,276.0,14.0,North,South
64,True,290.0,15.5,West,East
65,True,293.5,15.5,North,South
66,True,295.5,18.5,South,West
67,True,296.5,22.5,East,North
68,True,304.0,18.0,West,East
69,True,308.5,16.5,South,North
71,False,313.5,13.5,East,West
70,True,313.0,17.0,North,South
72,True,328.0,17.5,East,North
73,True,328.0,22.5,South,East
74,False,332.0,20.5,North,South
75,False,342.5,13.5,East,West
76,True,342.5,18.5,South,West
77,False,345.5,19.5,North,East
78,True,347.0,21.0,West,East
79,False,363.5,15.5,North,West
80,False,370.5,15.5,East,North
81,False,376.0,15.5,South,West
82,True,378.5,16.0,West,East
83,True,385.0,15.5,North,South
84,False,386.0,18.5,East,North
85,True,386.5,21.0,South,North
86,False,399.0,13.5,North,South
87,True,400.5,15.5,East,West
88,False,403.5,16.5,West,North
89,True,404.0,21.0,South,East
90,True,411.5,16.5,East,West
91,False,414.0,18.0,North,West
92,True,419.0,16.0,South,North
93,True,422.0,16.0,East,West
95,False,430.0,15.5,South,West
94,True,429.0,19.5,West,East
96,False,438.0,15.5,East,North
97,True,440.0,18.5,South,East
98,True,440.0,21.5,West,East
99,False,444.5,19.0,North,South
100,True,450.5,16.0,West,East
101,False,453.5,15.0,East,West
102,False,454.0,16.5,South,North
103,False,460.5,15.5,West,South
104,True,462.0,17.0,North,South
105,False,464.5,16.5,East,West
106,True,472.0,17.5,North,East
107,True,474.0,18.5,West,East
108,True,477.5,18.0,East,West
109,True,480.5,18.0,South,North
110,True,485.0,16.5,West,East
111,True,491.0,15.5,North,South
112,False,494.5,14.0,East,West
113,False,495.5,17.0,South,East
114,False,504.5,13.5,West,East
115,False,511.0,13.5,East,West
116,False,524.0,15.5,North,East
117,False,524.5,17.0,South,North
118,True,529.0,17.5,West,North
120,False,535.5,13.5,North,South
119,True,534.5,17.5,East,West
121,True,536.5,18.5,South,North
122,False,541.5,15.5,West,East
123,True,548.0,15.5,South,North
124,False,549.5,16.0,North,South
125,False,554.5,15.5,West,North
127,False,560.0,15.5,South,East
126,True,560.0,20.5,East,South
128,False,569.5,15.5,North,West
129,False,570.5,16.5,West,East
130,True,573.5,18.5,East,South
131,False,580.5,13.5,West,East
132,True,584.5,15.5,East,West
133,False,586.5,15.5,South,North
134,True,595.0,15.5,East,West
135,True,595.5,20.0,North,West
136,True,601.0,19.5,South,East
137,True,606.0,17.5,East,West
138,False,608.5,19.0,North,West
139,True,609.0,23.5,West,North
140,False,616.5,18.0,East,West
141,False,616.5,20.0,South,North
142,False,620.0,20.5,West,South
143,False,622.5,20.0,North,South
144,False,628.5,16.0,South,North
145,True,631.0,18.5,West,North
146,True,646.0,17.5,North,East
147,False,653.5,13.5,South,North
148,True,665.5,17.5,South,East
149,True,666.5,19.5,East,West
150,True,675.5,17.5,West,North
151,True,682.5,17.5,South,East
152,False,697.5,13.5,North,South
153,False,697.5,15.5,West,East
154,False,701.5,13.5,East,West
155,True,708.0,15.5,West,East
156,False,712.0,15.5,South,East
158,False,713.0,18.5,North,East
157,True,712.5,22.0,East,West
159,False,725.5,13.5,South,North
160,True,726.0,18.0,North,East
161,False,732.0,16.0,West,North
162,True,732.5,20.5,East,North
163,True,736.5,21.5,South,East
164,True,756.0,15.5,South,North
165,True,761.0,15.5,North,South
166,False,763.0,15.5,West,East
167,False,766.0,14.5,East,West
168,True,767.0,18.5,South,West
169,False,777.5,13.5,North,South
170,False,785.0,13.5,East,West
171,True,791.0,15.5,West,East
172,False,794.0,16.5,North,West
173,True,800.5,15.5,East,West
174,False,805.0,15.5,South,West
175,True,807.0,16.5,West,East
176,False,811.0,14.5,North,South
177,True,813.5,15.5,East,West
178,True,824.0,15.5,North,South
179,True,831.5,15.5,South,North
180,True,839.0,15.5,West,East
181,True,849.5,15.5,South,North
182,True,858.0,17.5,East,North
183,False,861.5,16.0,North,South
184,True,861.5,19.0,South,North
185,False,869.0,15.5,East,South
186,False,871.5,15.0,West,East
187,False,873.0,15.5,North,South
188,False,887.5,13.5,West,East
189,True,889.0,15.5,East,West
190,False,893.5,15.5,South,West
191,False,895.5,15.5,North,South
192,False,904.0,13.5,East,West
193,True,906.5,15.5,West,East
194,True,911.5,15.5,South,North
195,True,916.0,17.5,East,North
196,False,926.0,13.5,North,South
197,True,938.0,15.5,West,East
198,True,939.0,17.5,South,North
200,False,940.5,20.0,North,West
199,True,940.0,23.5,East,West
201,True,952.0,17.5,West,North
202,True,954.0,18.5,North,South
203,True,955.5,20.0,East,West
204,False,965.5,13.5,West,East
205,False,967.0,14.0,South,North
207,False,977.0,13.5,South,North
206,True,977.0,16.5,North,South
208,False,978.0,19.5,East,South
209,True,983.5,19.0,West,South
210,False,989.5,15.0,East,West
211,True,990.0,19.5,North,West
212,False,995.5,16.0,South,North
213,True,1004.0,15.5,East,West
214,False,1012.0,13.5,South,North
215,True,1013.5,17.5,North,East
216,False,1017.0,18.0,West,South
217,True,1022.0,16.0,South,North
218,True,1025.5,17.5,East,South
219,True,1026.5,19.5,North,South
220,False,1031.5,16.5,West,East
221,True,1037.0,17.5,East,North
222,False,1039.5,17.0,North,South
223,True,1040.0,19.5,South,North
224,True,1051.5,15.5,West,East
225,False,1053.5,15.5,South,North
226,True,1054.0,18.0,North,South
227,True,1064.5,15.5,West,East
228,False,1068.5,13.5,East,West
229,False,1069.0,15.0,South,North
230,True,1076.5,17.5,West,South
231,False,1090.0,13.5,West,East
232,False,1095.0,15.5,South,East
233,False,1098.5,16.0,East,North
234,False,1103.0,13.5,West,East
235,False,1105.5,13.5,North,South
236,False,1111.0,13.5,East,West
237,False,1114.5,13.5,West,East
238,False,1118.0,13.5,South,North
239,True,1120.5,15.5,North,South
240,False,1124.5,13.5,East,West
241,False,1137.5,13.5,East,West
243,False,1140.0,15.5,North,East
242,True,1139.5,19.0,West,East
244,True,1149.5,15.5,East,West
245,True,1153.0,15.5,West,East
246,True,1154.0,19.5,North,East
247,False,1157.5,18.0,South,North
248,False,1163.5,14.0,East,West
249,True,1165.5,15.5,West,East
250,True,1168.5,17.5,North,East
251,False,1175.0,13.5,East,West
252,False,1177.5,13.5,West,East
253,True,1178.5,15.5,South,North
254,True,1187.0,17.5,North,West
255,False,1190.0,16.5,West,East
256,False,1194.0,14.5,East,West
257,False,1197.5,13.5,South,North
258,False,1198.5,14.5,North,South
259,True,1214.5,17.5,East,North
260,False,1218.5,17.5,South,West
261,True,1219.5,21.5,West,South
262,False,1234.5,13.5,North,South
263,True,1235.0,16.0,West,East
264,True,1238.0,18.0,South,West
265,False,1245.0,13.5,West,East
266,False,1248.0,15.5,South,West
267,True,1248.5,20.0,East,South
268,False,1250.5,22.0,North,West
269,True,1259.0,18.5,South,East
270,True,1265.0,15.5,West,East
273,False,1270.0,13.5,South,North
271,True,1269.5,19.0,East,South
272,True,1270.0,23.5,North,East
274,True,1278.5,18.0,West,East
275,False,1287.0,13.5,East,West
276,False,1288.0,16.5,South,West
277,False,1295.0,13.5,West,East
278,False,1298.0,13.5,North,South
279,False,1300.0,13.5,South,North
280,False,1310.5,13.5,South,North
281,True,1310.5,18.5,West,North
282,False,1318.5,15.5,North,West
283,True,1319.5,17.5,East,West
284,True,1326.0,15.5,South,North
285,True,1330.5,17.5,East,South
286,False,1332.5,17.5,West,East
287,False,1334.5,17.5,North,South
288,True,1338.0,17.0,South,North
289,False,1346.5,13.5,North,South
290,True,1350.5,15.5,South,North
291,False,1352.5,15.5,West,East
292,False,1366.5,13.5,West,East
293,False,1367.0,15.0,East,West
294,True,1368.0,17.0,South,North
295,True,1371.0,19.0,North,West
296,True,1379.5,17.5,East,North
297,True,1389.0,15.5,South,North
298,False,1395.5,15.5,East,South
299,True,1397.5,16.5,North,South
300,False,1400.0,16.0,South,North
301,True,1405.0,17.5,West,South
302,False,1412.5,15.5,South,West
303,True,1413.0,20.0,East,North
304,True,1414.5,21.5,North,South
305,True,1425.0,15.5,South,North
306,True,1427.0,16.5,West,East
307,True,1428.0,18.5,East,West
308,True,1434.0,17.5,North,East
309,False,1437.5,16.0,West,East
310,False,1441.5,16.0,South,East
311,True,1444.0,16.5,East,West
312,True,1445.5,20.0,North,West
313,False,1459.0,13.5,North,South
314,True,1459.0,16.5,West,East
315,True,1459.5,19.0,South,North
316,True,1474.5,17.5,North,West
317,False,1478.5,15.5,South,North
318,True,1480.5,16.5,West,East
319,False,1483.5,15.5,East,West
320,True,1491.5,15.5,West,East
321,True,1494.0,16.0,North,South
322,True,1497.5,15.5,East,West
323,True,1503.5,17.5,South,West
324,False,1510.5,15.5,East,South
325,False,1514.5,15.5,North,East
326,False,1520.5,15.5,West,North
327,True,1521.5,19.5,East,North
328,True,1530.0,15.5,North,South
329,True,1531.0,19.5,West,North
330,False,1542.0,13.5,South,North
331,False,1542.5,17.0,North,West
332,False,1553.0,13.5,South,North
333,False,1553.0,17.5,West,North
334,False,1560.0,13.5,North,South
335,True,1563.0,17.5,East,South
336,True,1569.5,17.5,South,East
337,True,1573.0,17.0,East,West
338,False,1581.5,13.5,North,South
339,True,1583.5,15.5,South,North
340,False,1587.0,14.0,West,East
341,False,1588.0,15.0,East,West
342,True,1594.0,15.5,South,North
343,False,1605.0,13.5,West,East
344,False,1606.0,14.5,East,West
345,False,1608.0,16.5,North,West
346,True,1616.5,17.5,West,South
347,False,1618.0,20.0,North,West
348,False,1620.0,20.0,South,North
349,False,1630.0,15.5,South,East
350,True,1631.0,17.5,North,South
351,False,1634.0,16.5,East,West
352,True,1639.0,15.5,West,East
353,False,1647.5,15.5,South,East
354,True,1650.0,18.0,East,South
355,False,1661.0,13.5,East,West
356,True,1669.0,15.5,South,North
357,True,1672.5,17.5,West,North
358,False,1675.5,18.5,North,West
359,False,1678.0,20.0,East,North
360,False,1683.5,16.5,West,East
361,True,1688.5,15.5,East,West
362,False,1695.0,13.5,South,North
363,True,1697.0,15.5,West,East
364,True,1704.5,15.5,North,South
365,False,1707.0,17.0,East,North
366,True,1714.5,17.5,North,West
367,True,1717.5,17.5,South,North
368,True,1727.5,17.5,West,South
369,False,1729.5,19.5,South,West
370,True,1730.5,21.5,East,West
371,True,1737.0,20.0,North,West
372,False,1745.5,13.5,East,West
373,False,1747.5,13.5,West,East
374,False,1751.5,15.5,North,West
375,False,1758.0,15.5,East,South
376,True,1766.5,15.5,North,South
377,True,1770.0,17.5,West,North
378,True,1780.0,15.5,West,East
379,True,1780.5,20.0,South,West
380,False,1791.5,15.5,North,East
381,False,1792.5,16.5,East,West
382,False,1792.5,20.5,West,North
383,True,1802.0,15.5,South,North
384,False,1805.5,16.0,North,East
385,True,1805.5,19.0,West,East
386,False,1818.0,13.5,South,North
387,False,1821.0,15.5,West,South
388,True,1822.0,19.5,North,West
389,False,1834.0,15.5,South,West
390,True,1836.5,18.0,East,South
391,True,1839.0,18.5,North,South
393,False,1847.0,13.5,East,West
392,True,1846.0,19.5,South,East
394,True,1855.0,17.5,West,South
395,False,1871.0,15.5,South,West
396,True,1874.0,15.5,East,West
397,True,1878.0,15.5,North,South
398,True,1888.5,17.5,South,East
399,False,1891.0,17.0,East,West
400,True,1894.0,17.0,North,South
401,False,1901.0,15.5,East,North
402,False,1901.0,19.5,South,East
403,False,1910.5,15.5,North,East
404,True,1911.5,17.5,South,North
405,False,1921.0,13.5,North,South
406,True,1925.0,15.5,East,West
407,True,1929.5,15.5,West,East
408,True,1939.5,15.5,West,East
409,True,1940.0,20.0,South,East
410,True,1941.5,23.5,North,East
411,True,1944.5,23.5,East,West
412,False,1952.0,20.0,North,East
413,False,1955.0,19.0,East,West
414,False,1962.0,14.0,South,North
415,True,1967.5,15.5,West,East
416,False,1975.0,13.5,South,North
417,True,1978.5,15.5,East,West
418,False,1996.0,13.5,North,South
419,True,2002.5,15.5,East,West
420,True,2002.5,18.5,South,North
421,True,2010.0,17.5,North,West
422,True,2019.5,15.5,South,North
423,False,2022.0,15.0,West,East
424,True,2023.5,18.5,North,East
425,True,2029.0,16.0,East,West
426,False,2040.5,13.5,South,North
427,False,2043.0,13.5,West,East
428,False,2046.0,15.5,North,East
429,True,2058.5,15.5,North,South
430,True,2058.5,18.5,East,West
431,False,2077.0,15.5,East,North
432,True,2077.5,18.0,South,North
433,False,2081.5,16.0,West,East
434,True,2084.5,16.0,North,South
435,False,2087.5,17.0,East,North
436,False,2090.0,16.5,South,North
437,False,2098.0,15.5,North,East
438,False,2104.5,15.5,East,North
439,True,2107.0,18.0,West,North
440,True,2110.5,17.5,North,South
441,False,2113.5,16.5,South,North
442,False,2119.0,13.5,West,East
443,False,2120.0,14.5,East,West
444,True,2138.0,15.5,East,West
445,True,2140.5,18.0,West,South
446,True,2142.0,19.5,North,South
447,True,2151.0,15.5,East,West
448,True,2152.5,17.0,West,East
449,True,2154.5,20.0,South,East
450,True,2157.5,20.0,North,South
451,True,2165.5,15.5,West,East
452,False,2177.5,13.5,North,South
453,True,2182.5,17.5,West,South
454,False,2186.5,17.5,East,South
455,False,2189.0,17.0,North,South
456,True,2190.5,18.5,South,North
457,False,2192.5,18.5,West,East
458,False,2203.0,13.5,South,North
459,True,2205.5,15.5,West,East
460,True,2212.5,17.5,East,North
461,False,2217.5,14.5,North,South
462,True,2218.5,16.5,South,North
463,True,2227.5,15.5,West,East
465,False,2229.0,16.0,North,South
464,True,2228.0,22.0,East,North
466,True,2237.5,17.5,South,East
467,False,2241.0,16.0,West,East
468,True,2243.0,17.0,North,South
469,True,2253.0,17.5,West,North
470,True,2254.0,21.5,South,East
471,True,2256.5,22.0,North,South
472,False,2258.5,22.0,East,West
473,True,2270.5,15.5,North,South
474,False,2275.0,15.5,East,North
475,False,2285.0,13.5,East,West
476,True,2287.0,15.5,South,North
477,False,2292.5,13.5,West,East
478,True,2298.5,15.5,North,South
479,False,2300.0,16.0,South,North
480,False,2310.0,15.5,East,South
481,True,2312.5,16.0,South,North
482,False,2313.5,17.0,West,East
483,True,2323.5,15.5,East,West
484,False,2324.5,16.5,West,East
485,True,2327.0,19.0,South,West
486,False,2337.5,15.5,West,South
487,False,2340.0,17.0,South,East
488,False,2340.5,20.5,North,East
489,False,2351.5,15.5,West,North
490,False,2354.0,15.0,East,West
491,True,2356.0,18.0,South,East
492,True,2357.0,20.0,North,South
493,False,2369.5,13.5,South,North
494,False,2374.0,13.5,West,East
495,False,2377.0,15.5,East,North
496,True,2380.5,15.5,South,North
497,False,2386.5,13.5,West,East
498,True,2392.0,17.5,South,West
499,False,2403.0,13.5,North,South
500,False,2408.5,15.5,East,South
501,False,2412.5,13.5,South,North
502,False,2415.5,13.5,West,East
504,False,2430.0,13.5,East,West
503,True,2429.5,17.0,North,South
505,False,2430.5,18.0,West,East
506,False,2437.5,13.5,South,North
507,True,2444.0,15.5,North,South
508,True,2444.0,18.5,West,East
509,True,2453.0,17.5,East,South
510,False,2460.5,13.5,West,East
511,False,2462.5,13.5,South,North
512,True,2471.5,15.5,East,West
513,False,2475.0,14.0,West,East
514,False,2477.0,16.0,South,West
515,True,2484.5,15.5,East,West
516,True,2488.5,15.5,North,South
517,False,2493.0,15.5,South,West
518,False,2498.5,13.5,West,East
519,True,2500.5,15.5,East,West
520,True,2503.5,17.5,North,East
521,False,2510.5,15.5,South,East
522,False,2513.5,14.5,West,East
523,False,2520.5,13.5,North,South
524,True,2534.5,15.5,North,South
525,True,2536.5,18.5,West,North
526,True,2542.0,16.0,South,North
527,True,2547.5,15.5,West,East
529,False,2555.0,15.5,East,South
528,True,2554.0,19.5,South,North
530,False,2557.5,20.0,West,South
531,True,2559.5,21.0,North,South
532,False,2566.0,18.5,South,East
533,False,2571.0,17.5,East,North
534,False,2579.5,13.5,South,North
535,True,2584.5,17.5,West,South
536,True,2585.0,20.0,East,West
537,False,2589.5,19.5,South,East
538,False,2590.5,20.5,North,South
539,False,2596.5,16.5,West,East
540,False,2601.0,14.0,South,North
541,False,2607.5,15.5,North,East
542,False,2609.5,15.5,East,West
543,True,2612.5,17.5,West,North
544,True,2614.5,18.5,South,North
545,True,2620.5,15.5,North,South
546,False,2625.0,15.5,West,North
547,False,2626.5,16.0,East,West
548,False,2632.0,15.5,North,West
549,True,2636.0,15.5,West,East
550,False,2639.5,14.0,South,North
551,False,2642.5,15.5,North,West
552,True,2646.5,17.5,West,South
553,True,2657.0,15.5,West,East
554,False,2673.0,13.5,North,South
555,True,2674.5,15.5,East,West
556,False,2676.5,17.5,West,North
557,True,2685.5,17.5,South,East
558,True,2690.5,15.5,West,East
559,False,2700.5,13.5,South,North
560,False,2701.0,17.0,West,South
561,False,2703.5,16.5,East,West
562,True,2711.0,15.5,West,East
563,True,2722.5,15.5,East,West
564,True,2729.0,15.5,South,North
565,True,2730.5,19.0,North,East
566,True,2733.0,21.5,East,North
567,True,2736.0,21.5,West,East
568,False,2743.5,16.0,East,West
569,True,2746.5,18.0,South,West
570,False,2755.5,13.5,West,East
571,False,2756.0,17.0,North,West
572,True,2758.0,20.0,South,West
573,True,2762.0,21.0,East,South
574,True,2766.5,19.5,West,East
575,True,2770.5,18.5,North,South
576,True,2772.0,20.0,East,West
577,True,2780.5,15.5,West,East
578,True,2782.5,18.5,East,South
